Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,is_sequential_from_prev,sequence_break,sequence_id,sequence_length,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,distance_from_ego_y,is_ego,scenario_label,window_valid,expected_window_size
945,2454,471.0,1118847224300,28.362,854.784,6451725.922,1872771.984,17.5,5.9,2,30.0,0.0,3,,,,,,,933.0,953.0,83.98,2.8,us-101,1118847224.3,True,0,0,85,933.0,83.97799999999995,26.27,3.73,2.799266666666665,22.514209115281485,False,False,False,False,806.981,47.803,False,car_following,True,50
947,2454,471.0,1118847224300,17.685,848.678,6451728.411,1872784.014,18.0,8.4,2,27.18,-11.2,2,,,,,,,943.0,950.0,45.61,1.68,us-101,1118847224.3,True,0,0,93,943.0,45.610000000000014,25.53,1.6499999999999986,1.6780721118469468,27.642424242424276,False,True,False,True,806.981,41.697,False,car_following,True,50
948,2454,591.0,1118847224300,5.761,832.169,6451723.884,1872803.877,17.0,6.4,2,21.37,-3.8,1,,,,,,,944.0,959.0,47.17,2.21,us-101,1118847224.3,True,0,0,139,944.0,47.173,20.0,1.370000000000001,2.207440336920917,34.432846715328445,False,True,False,False,806.981,25.187999999999988,False,car_following,True,50
950,2454,472.0,1118847224300,18.031,806.981,6451696.847,1872811.32,13.5,7.4,2,32.41,1.04,2,,,,,,,947.0,967.0,41.7,1.29,us-101,1118847224.3,True,0,0,109,947.0,41.697,27.18,5.229999999999997,1.2865473619253318,7.972657743785856,False,False,False,True,806.981,0.0,True,car_following,True,50
952,2454,460.0,1118847224300,41.31,799.71,6451676.024,1872798.633,15.5,7.4,2,42.3,2.1,4,,,,,,,946.0,955.0,40.41,0.96,us-101,1118847224.3,True,0,0,91,946.0,40.41199999999992,36.41,5.890000000000001,0.9553664302600456,6.861120543293704,False,False,False,True,806.981,-7.270999999999958,False,car_following,True,50
953,2454,468.0,1118847224300,30.943,788.093,6451674.144,1872814.094,14.5,6.4,2,34.61,-2.63,3,,,,,,,945.0,957.0,66.69,1.93,us-101,1118847224.3,True,0,0,108,945.0,66.69100000000003,30.0,4.609999999999999,1.9269286333429652,14.466594360086775,False,False,False,True,806.981,-18.888000000000034,False,car_following,True,50
954,2454,313.0,1118847224300,64.972,744.522,6451618.958,1872817.271,14.0,6.9,2,56.67,6.07,6,,,,,,,949.0,0.0,96.4,1.7,us-101,1118847224.3,True,0,0,86,949.0,96.39799999999993,54.41,2.260000000000005,1.7010411152285143,42.65398230088482,False,False,False,True,806.981,-62.458999999999946,False,car_following,True,50
956,2454,306.0,1118847224300,53.157,756.72,6451635.938,1872818.085,16.0,7.4,2,40.0,0.0,5,,,,,,,942.0,958.0,172.69,4.32,us-101,1118847224.3,True,0,0,97,942.0,172.68899999999996,45.0,-5.0,4.317224999999999,inf,False,False,False,False,806.981,-50.26099999999997,False,car_following,True,50
957,2454,508.0,1118847224300,30.018,739.084,6451637.939,1872847.12,16.0,8.5,2,34.93,-1.61,3,,,,,,,953.0,962.0,49.01,1.4,us-101,1118847224.3,True,0,0,131,953.0,49.009000000000015,34.61,0.3200000000000003,1.403063269395935,153.1531249999999,False,False,False,True,806.981,-67.89700000000005,False,car_following,True,50
959,2454,612.0,1118847224300,9.019,742.932,6451654.695,1872860.353,25.0,8.5,3,30.03,0.07,1,,,,,,,948.0,966.0,89.24,2.97,us-101,1118847224.3,True,0,0,195,948.0,89.23699999999997,21.37,8.66,2.9715950715950705,10.30450346420323,False,False,False,False,806.981,-64.04899999999998,False,car_following,True,50
945,2455,471.0,1118847224400,28.369,857.784,6451728.169,1872769.997,17.5,5.9,2,30.0,0.0,3,,,,,,,933.0,953.0,83.64,2.79,us-101,1118847224.4,True,0,0,85,933.0,83.64200000000005,26.58,3.4200000000000017,2.788066666666668,24.456725146198835,False,False,False,False,810.233,47.551000000000045,False,car_following,True,50
947,2455,471.0,1118847224400,17.717,851.337,6451730.385,1872782.235,18.0,8.4,2,26.05,-10.38,2,,,,,,,943.0,950.0,45.5,1.75,us-101,1118847224.4,True,0,0,93,943.0,45.505,26.36,-0.3099999999999987,1.7468330134357004,inf,False,True,False,True,810.233,41.10400000000004,False,car_following,True,50
948,2455,591.0,1118847224400,5.704,834.307,6451725.53,1872802.505,17.0,6.4,2,20.92,-6.43,1,,,,,,,944.0,959.0,47.03,2.25,us-101,1118847224.4,True,0,0,139,944.0,47.03499999999997,20.0,0.9200000000000016,2.248326959847035,51.12499999999987,False,True,False,False,810.233,24.07400000000007,False,car_following,True,50
950,2455,472.0,1118847224400,17.929,810.233,6451699.356,1872809.248,13.5,7.4,2,32.45,0.0,2,,,,,,,947.0,967.0,41.1,1.27,us-101,1118847224.4,True,0,0,109,947.0,41.10400000000004,26.05,6.400000000000002,1.266687211093992,6.422500000000005,False,False,False,True,810.233,0.0,True,car_following,True,50
952,2455,460.0,1118847224400,41.215,803.962,6451679.282,1872795.893,15.5,7.4,2,42.45,0.55,4,,,,,,,946.0,955.0,39.76,0.94,us-101,1118847224.4,True,0,0,91,946.0,39.76099999999997,35.82,6.630000000000003,0.9366548881036504,5.997134238310702,False,False,False,True,810.233,-6.270999999999958,False,car_following,True,50
953,2455,468.0,1118847224400,30.903,791.538,6451676.755,1872811.85,14.5,6.4,2,34.37,-2.2,3,,,,,,,945.0,957.0,66.25,1.93,us-101,1118847224.4,True,0,0,108,945.0,66.24599999999998,30.0,4.369999999999997,1.9274367180680825,15.15926773455378,False,False,False,True,810.233,-18.694999999999936,False,car_following,True,50
954,2455,313.0,1118847224400,64.977,750.233,6451623.26,1872813.487,14.0,6.9,2,57.12,3.74,6,,,,,,,949.0,0.0,96.06,1.68,us-101,1118847224.4,True,0,0,86,949.0,96.06400000000008,54.26,2.8599999999999994,1.681792717086836,33.58881118881122,False,False,False,True,810.233,-60.0,False,car_following,True,50
956,2455,306.0,1118847224400,53.132,760.72,6451638.961,1872815.465,16.0,7.4,2,40.0,0.0,5,,,,,,,942.0,958.0,173.19,4.33,us-101,1118847224.4,True,0,0,97,942.0,173.18999999999994,44.98,-4.979999999999997,4.329749999999999,inf,False,False,False,False,810.233,-49.51299999999992,False,car_following,True,50
957,2455,508.0,1118847224400,29.996,742.586,6451640.606,1872844.808,16.0,8.5,2,34.62,-4.34,3,,,,,,,953.0,962.0,48.95,1.41,us-101,1118847224.4,True,0,0,131,953.0,48.952,34.37,0.25,1.4139803581744657,195.808,False,True,False,True,810.233,-67.64699999999993,False,car_following,True,50
959,2455,612.0,1118847224400,9.0,745.948,6451656.962,1872858.388,25.0,8.5,3,29.9,-2.05,1,,,,,,,948.0,966.0,88.36,2.96,us-101,1118847224.4,True,0,0,195,948.0,88.35900000000004,20.92,8.979999999999997,2.955150501672242,9.839532293986643,False,False,False,False,810.233,-64.28499999999997,False,car_following,True,50
945,2456,471.0,1118847224500,28.377,860.784,6451730.417,1872768.01,17.5,5.9,2,30.0,0.0,3,,,,,,,933.0,953.0,83.32,2.78,us-101,1118847224.5,True,0,0,85,933.0,83.32299999999998,26.68,3.3200000000000003,2.7774333333333328,25.0972891566265,False,False,False,False,813.477,47.307000000000016,False,car_following,True,50
947,2456,471.0,1118847224500,17.642,853.855,6451732.292,1872780.658,18.0,8.4,2,25.3,-4.95,2,,,,,,,943.0,950.0,45.68,1.81,us-101,1118847224.5,True,0,0,93,943.0,45.67899999999997,27.5,-2.1999999999999997,1.805494071146244,inf,False,True,False,True,813.477,40.37800000000004,False,car_following,True,50
948,2456,591.0,1118847224500,5.599,836.357,6451727.121,1872801.246,17.0,6.4,2,20.4,-4.59,1,,,,,,,944.0,959.0,46.98,2.3,us-101,1118847224.5,True,0,0,139,944.0,46.985000000000014,20.0,0.3999999999999986,2.303186274509805,117.46250000000045,False,True,False,False,813.477,22.879999999999995,False,car_following,True,50
950,2456,472.0,1118847224500,17.836,813.477,6451701.879,1872807.152,13.5,7.4,2,32.47,0.03,2,,,,,,,947.0,967.0,40.38,1.24,us-101,1118847224.5,True,0,0,109,947.0,40.37800000000004,25.3,7.169999999999998,1.243547890360334,5.631520223152029,False,False,False,True,813.477,0.0,True,car_following,True,50
952,2456,460.0,1118847224500,41.113,808.217,6451682.526,1872793.175,15.5,7.4,2,42.46,-0.32,4,,,,,,,946.0,955.0,39.05,0.92,us-101,1118847224.5,True,0,0,91,946.0,39.053,35.38,7.079999999999998,0.9197597739048516,5.515960451977402,False,False,False,True,813.477,-5.259999999999991,False,car_following,True,50
953,2456,468.0,1118847224500,30.863,794.96,6451679.351,1872809.62,14.5,6.4,2,34.17,-1.77,3,,,,,,,945.0,957.0,65.82,1.93,us-101,1118847224.5,True,0,0,108,945.0,65.82399999999996,30.0,4.170000000000002,1.9263681592039787,15.785131894484396,False,False,False,True,813.477,-18.51699999999994,False,car_following,True,50
954,2456,313.0,1118847224500,64.981,756.0,6451627.594,1872809.677,14.0,6.9,2,57.2,-1.8,6,,,,,,,949.0,0.0,95.71,1.67,us-101,1118847224.5,True,0,0,86,949.0,95.711,54.5,2.700000000000003,1.673269230769231,35.44851851851848,False,False,False,True,813.477,-57.476999999999975,False,car_following,True,50
956,2456,306.0,1118847224500,53.107,764.72,6451641.983,1872812.845,16.0,7.4,2,40.0,0.0,5,,,,,,,942.0,958.0,173.69,4.34,us-101,1118847224.5,True,0,0,97,942.0,173.68599999999992,44.97,-4.969999999999999,4.342149999999998,inf,False,False,False,False,813.477,-48.75699999999995,False,car_following,True,50
957,2456,508.0,1118847224500,29.99,746.045,6451643.204,1872842.535,16.0,8.5,2,34.08,-6.91,3,,,,,,,953.0,962.0,48.91,1.44,us-101,1118847224.5,True,0,0,131,953.0,48.91500000000008,34.17,-0.0900000000000034,1.4352992957746502,inf,False,True,False,True,813.477,-67.43200000000002,False,car_following,True,50
959,2456,612.0,1118847224500,8.98,748.955,6451659.251,1872856.404,25.0,8.5,3,29.47,-6.25,1,,,,,,,948.0,966.0,87.4,2.97,us-101,1118847224.5,True,0,0,195,948.0,87.40199999999993,20.4,9.07,2.965795724465556,9.636383682469672,False,True,False,False,813.477,-64.52199999999993,False,car_following,True,50
945,2457,471.0,1118847224600,28.384,863.785,6451732.665,1872766.023,17.5,5.9,2,30.0,0.0,3,,,,,,,933.0,953.0,82.99,2.77,us-101,1118847224.6,True,0,0,85,933.0,82.99200000000008,26.69,3.3099999999999987,2.766400000000002,25.073111782477373,False,False,False,False,816.723,47.06200000000001,False,car_following,True,50
947,2457,471.0,1118847224600,17.591,856.33,6451734.183,1872779.062,18.0,8.4,2,24.98,-0.71,2,,,,,,,943.0,950.0,46.02,1.84,us-101,1118847224.6,True,0,0,93,943.0,46.019000000000005,28.58,-3.599999999999998,1.842233787029624,inf,False,False,False,True,816.723,39.607000000000085,False,car_following,True,50
948,2457,591.0,1118847224600,5.55,838.353,6451728.639,1872799.975,17.0,6.4,2,20.08,-1.48,1,,,,,,,944.0,959.0,46.99,2.34,us-101,1118847224.6,True,0,0,139,944.0,46.98900000000003,20.0,0.0799999999999983,2.3400896414342647,587.3625000000129,False,False,False,False,816.723,21.629999999999995,False,car_following,True,50
950,2457,472.0,1118847224600,17.715,816.723,6451704.371,1872805.121,13.5,7.4,2,32.53,0.71,2,,,,,,,947.0,967.0,39.61,1.22,us-101,1118847224.6,True,0,0,109,947.0,39.607000000000085,24.98,7.550000000000001,1.2175530279741802,5.245960264900673,False,False,False,True,816.723,0.0,True,car_following,True,50
952,2457,460.0,1118847224600,41.022,812.472,6451685.782,1872790.433,15.5,7.4,2,42.31,-2.13,4,,,,,,,946.0,955.0,38.3,0.91,us-101,1118847224.6,True,0,0,91,946.0,38.30399999999997,35.1,7.210000000000001,0.9053178917513584,5.3126213592232965,False,False,False,True,816.723,-4.250999999999976,False,car_following,True,50
953,2457,468.0,1118847224600,30.81,798.365,6451681.945,1872807.409,14.5,6.4,2,34.02,-1.27,3,,,,,,,945.0,957.0,65.42,1.92,us-101,1118847224.6,True,0,0,108,945.0,65.41999999999996,30.0,4.020000000000003,1.9229864785420328,16.273631840795996,False,False,False,True,816.723,-18.357999999999947,False,car_following,True,50
954,2457,313.0,1118847224600,64.983,761.74,6451631.925,1872805.872,14.0,6.9,2,56.84,-6.08,6,,,,,,,949.0,0.0,95.45,1.68,us-101,1118847224.6,True,0,0,86,949.0,95.44799999999998,54.85,1.990000000000002,1.6792399718508089,47.96381909547733,False,True,False,True,816.723,-54.98299999999995,False,car_following,True,50
956,2457,306.0,1118847224600,53.081,768.72,6451645.006,1872810.225,16.0,7.4,2,40.0,0.0,5,,,,,,,942.0,958.0,174.17,4.35,us-101,1118847224.6,True,0,0,97,942.0,174.16899999999998,45.1,-5.100000000000001,4.354225,inf,False,False,False,False,816.723,-48.00299999999993,False,car_following,True,50
957,2457,508.0,1118847224600,29.97,749.428,6451645.755,1872840.322,16.0,8.5,2,33.33,-8.22,3,,,,,,,953.0,962.0,48.94,1.47,us-101,1118847224.6,True,0,0,131,953.0,48.93700000000001,34.02,-0.6900000000000048,1.4682568256825688,inf,False,True,False,True,816.723,-67.29499999999996,False,car_following,True,50
959,2457,612.0,1118847224600,9.003,751.9,6451661.456,1872854.438,25.0,8.5,3,28.64,-10.68,1,,,,,,,948.0,966.0,86.45,3.02,us-101,1118847224.6,True,0,0,195,948.0,86.45299999999997,20.08,8.560000000000002,3.01861033519553,10.099649532710275,False,True,False,False,816.723,-64.82299999999998,False,car_following,True,50
945,2458,471.0,1118847224700,28.391,866.785,6451734.913,1872764.036,17.5,5.9,2,30.0,0.0,3,,,,,,,933.0,953.0,82.66,2.76,us-101,1118847224.7,True,0,0,85,933.0,82.65899999999999,26.67,3.3299999999999983,2.7553,24.822522522522533,False,False,False,False,819.994,46.79099999999994,False,car_following,True,50
947,2458,471.0,1118847224700,17.621,858.813,6451736.043,1872777.386,18.0,8.4,2,24.95,0.62,2,,,,,,,943.0,950.0,46.48,1.86,us-101,1118847224.7,True,0,0,93,943.0,46.476,29.27,-4.32,1.8627655310621245,inf,False,False,False,True,819.994,38.81899999999996,False,car_following,True,50
948,2458,591.0,1118847224700,5.578,840.341,6451730.125,1872798.631,17.0,6.4,2,19.99,0.08,1,,,,,,,944.0,959.0,47.0,2.35,us-101,1118847224.7,True,0,0,139,944.0,47.000999999999976,20.0,-0.0100000000000015,2.3512256128064024,inf,False,False,False,False,819.994,20.34699999999998,False,car_following,True,50
950,2458,472.0,1118847224700,17.672,819.994,6451706.82,1872803.025,13.5,7.4,2,32.4,-1.82,2,,,,,,,947.0,967.0,38.82,1.2,us-101,1118847224.7,True,0,0,109,947.0,38.81899999999996,24.95,7.449999999999999,1.198117283950616,5.210604026845632,False,False,False,True,819.994,0.0,True,car_following,True,50
952,2458,460.0,1118847224700,40.96,816.712,6451689.023,1872787.664,15.5,7.4,2,41.96,-5.01,4,,,,,,,946.0,955.0,37.55,0.89,us-101,1118847224.7,True,0,0,91,946.0,37.55200000000002,34.98,6.980000000000004,0.8949475691134419,5.379942693409742,False,True,False,True,819.994,-3.282000000000039,False,car_following,True,50
953,2458,468.0,1118847224700,30.734,801.753,6451684.54,1872805.227,14.5,6.4,2,33.95,-0.25,3,,,,,,,945.0,957.0,65.03,1.92,us-101,1118847224.7,True,0,0,108,945.0,65.03199999999993,30.0,3.950000000000003,1.9155228276877736,16.4637974683544,False,False,False,True,819.994,-18.240999999999985,False,car_following,True,50
