Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,is_sequential_from_prev,sequence_break,sequence_id,sequence_length,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate,ego_Local_Y,distance_from_ego_y,is_ego,scenario_label,window_valid,expected_window_size
1045,2749,335.0,1118847253800,53.452,515.879,6451455.105,1872977.886,15.0,7.9,2,39.93,0.15,5,,,,,,,,,64.89,1.63,us-101,1118847253.8,True,0,0,259,1041.0,64.89199999999994,46.43,-6.5,1.6251440020035046,inf,False,False,False,True,547.771,-31.89199999999994,False,near_collision,True,50
1049,2749,530.0,1118847253800,19.69,583.685,6451528.149,1872957.855,17.5,7.4,2,19.98,-0.03,2,,,,,,,,,43.52,2.18,us-101,1118847253.8,True,0,0,312,1043.0,43.51800000000003,24.93,-4.949999999999999,2.1780780780780797,inf,False,False,False,False,547.771,35.91399999999999,False,near_collision,True,50
1050,2749,487.0,1118847253800,42.753,545.255,6451484.132,1872966.28,15.5,6.4,2,29.96,-0.07,4,,,,,,,,,57.79,1.93,us-101,1118847253.8,True,0,0,279,1044.0,57.79200000000003,30.0,-0.0399999999999991,1.9289719626168236,inf,False,False,False,True,547.771,-2.5159999999999627,False,near_collision,True,50
1053,2749,642.0,1118847253800,7.807,592.477,6451542.623,1872960.853,13.5,5.9,2,5.53,6.25,1,,,,,,,,,28.04,5.07,us-101,1118847253.8,True,0,0,412,1047.0,28.03800000000001,9.97,-4.44,5.070162748643763,inf,False,False,False,False,547.771,44.70600000000002,False,near_collision,True,50
1054,2749,534.0,1118847253800,28.676,547.771,6451495.377,1872975.108,13.0,5.9,2,18.57,10.78,3,,,,,,,,,28.98,1.56,us-101,1118847253.8,True,0,0,316,1061.0,28.97900000000004,18.14,0.4299999999999997,1.560527732902533,67.3930232558141,False,False,False,True,547.771,0.0,True,near_collision,True,50
1056,2749,599.0,1118847253800,18.348,506.144,6451471.245,1873010.546,14.0,7.4,2,14.97,-0.24,2,,,,,,,,,77.54,5.18,us-101,1118847253.8,True,0,0,371,1049.0,77.54099999999994,19.98,-5.01,5.179759519038072,inf,False,False,False,False,547.771,-41.62699999999995,False,near_collision,True,50
1057,2749,578.0,1118847253800,30.751,612.376,6451542.171,1872930.476,13.5,7.4,2,10.37,-4.34,3,,,,,,,,,29.7,2.86,us-101,1118847253.8,True,0,0,348,1055.0,29.70500000000004,5.0,5.369999999999999,2.864513018322087,5.531657355679711,False,True,False,False,547.771,64.60500000000002,False,near_collision,True,50
1059,2749,494.0,1118847253800,40.862,479.163,6451435.812,1873012.318,15.0,7.4,2,30.57,-0.2,4,,,,,,,,,66.09,2.16,us-101,1118847253.8,True,0,0,293,1050.0,66.09199999999998,29.96,0.6099999999999994,2.161988877984952,108.34754098360663,False,False,False,False,547.771,-68.60799999999995,False,near_collision,True,50
1061,2749,579.0,1118847253800,31.611,576.75,6451515.047,1872953.58,15.0,7.4,2,18.14,4.11,3,,,,,,,,,35.63,1.96,us-101,1118847253.8,True,0,0,348,1057.0,35.625999999999976,10.37,7.770000000000001,1.9639470782800428,4.585070785070781,False,False,False,True,547.771,28.979000000000042,False,near_collision,True,50
1045,2750,335.0,1118847253900,53.597,519.861,6451457.987,1872975.113,15.0,7.9,2,40.06,1.99,5,,,,,,,,,65.61,1.64,us-101,1118847253.9,True,0,0,259,1041.0,65.61300000000006,47.2,-7.140000000000001,1.6378681977034462,inf,False,False,False,True,549.712,-29.851,False,near_collision,True,50
1049,2750,530.0,1118847253900,19.679,585.682,6451529.646,1872956.531,17.5,7.4,2,19.99,0.13,2,,,,,,,,,44.01,2.2,us-101,1118847253.9,True,0,0,312,1043.0,44.01499999999999,24.69,-4.700000000000003,2.2018509254627308,inf,False,False,False,False,549.712,35.97000000000003,False,near_collision,True,50
1050,2750,487.0,1118847253900,42.861,548.239,6451486.294,1872964.201,15.5,6.4,2,30.06,1.63,4,,,,,,,,,57.81,1.92,us-101,1118847253.9,True,0,0,279,1044.0,57.80799999999999,30.0,0.0599999999999987,1.9230871590153025,963.466666666687,False,False,False,True,549.712,-1.4729999999999563,False,near_collision,True,50
1053,2750,642.0,1118847253900,7.757,593.032,6451543.063,1872960.526,13.5,5.9,2,6.36,10.7,1,,,,,,,,,28.47,4.48,us-101,1118847253.9,True,0,0,412,1047.0,28.466000000000008,10.1,-3.7399999999999993,4.475786163522014,inf,False,False,False,False,549.712,43.32000000000005,False,near_collision,True,50
1054,2750,534.0,1118847253900,28.845,549.712,6451496.725,1872973.676,13.0,5.9,2,19.4,6.11,3,,,,,,,,,28.88,1.49,us-101,1118847253.9,True,0,0,316,1061.0,28.875999999999976,18.54,0.8599999999999994,1.4884536082474216,33.576744186046504,False,False,False,True,549.712,0.0,True,near_collision,True,50
1056,2750,599.0,1118847253900,18.402,507.639,6451472.326,1873009.506,14.0,7.4,2,14.96,-0.08,2,,,,,,,,,78.04,5.22,us-101,1118847253.9,True,0,0,371,1049.0,78.043,19.99,-5.029999999999998,5.21677807486631,inf,False,False,False,False,549.712,-42.07299999999998,False,near_collision,True,50
1057,2750,578.0,1118847253900,30.736,613.373,6451542.904,1872929.84,13.5,7.4,2,10.07,-1.61,3,,,,,,,,,29.21,2.9,us-101,1118847253.9,True,0,0,348,1055.0,29.208999999999943,4.98,5.09,2.900595829195625,5.738506876227888,False,False,False,False,549.712,63.66100000000006,False,near_collision,True,50
1059,2750,494.0,1118847253900,40.628,482.232,6451438.218,1873010.419,15.0,7.4,2,30.42,-2.28,4,,,,,,,,,66.01,2.17,us-101,1118847253.9,True,0,0,293,1050.0,66.007,30.06,0.360000000000003,2.1698553583168967,183.35277777777628,False,False,False,False,549.712,-67.47999999999996,False,near_collision,True,50
1061,2750,579.0,1118847253900,31.672,578.588,6451516.353,1872952.33,15.0,7.4,2,18.54,3.87,3,,,,,,,,,34.78,1.88,us-101,1118847253.9,True,0,0,348,1057.0,34.78500000000008,10.07,8.469999999999999,1.8762135922330143,4.106847697756799,False,False,False,True,549.712,28.875999999999976,False,near_collision,True,50
1045,2751,335.0,1118847254000,53.742,523.851,6451460.849,1872972.36,15.0,7.9,2,40.5,6.25,5,,,,,,,,,66.4,1.64,us-101,1118847254.0,True,0,0,259,1041.0,66.39700000000005,47.7,-7.200000000000003,1.6394320987654334,inf,False,False,False,True,551.709,-27.857999999999947,False,near_collision,True,50
1049,2751,530.0,1118847254000,19.648,587.683,6451531.157,1872955.221,17.5,7.4,2,19.98,-0.2,2,,,,,,,,,44.46,2.23,us-101,1118847254.0,True,0,0,312,1043.0,44.457,24.51,-4.530000000000001,2.2250750750750745,inf,False,False,False,False,551.709,35.974000000000046,False,near_collision,True,50
1050,2751,487.0,1118847254000,42.974,551.231,6451488.436,1872962.134,15.5,6.4,2,30.41,5.12,4,,,,,,,,,57.82,1.9,us-101,1118847254.0,True,0,0,279,1044.0,57.815000000000055,30.0,0.4100000000000001,1.9011838211114784,141.0121951219513,False,False,False,True,551.709,-0.4779999999999518,False,near_collision,True,50
1053,2751,642.0,1118847254000,7.724,593.723,6451543.589,1872960.1,13.5,5.9,2,7.5,11.2,1,,,,,,,,,28.77,3.84,us-101,1118847254.0,True,0,0,412,1047.0,28.76800000000003,10.53,-3.03,3.835733333333337,inf,False,False,False,False,551.709,42.01400000000001,False,near_collision,True,50
